,Rank,Company,Industry,Address,City,State / Country,Postal Code,Country,"Revenue (in millions, USD)",Employees,Ticker,Website,CEO,Indian_cities,Department_in_india
99,100,PowerChina,Engineering & Construction,22 Chegongzhuang W. Rd.,Beijing,China,100048,China,"$96,422",181330.0,,www.powerchina.cn,Yan Zhiyong,[],['PowerChina does not have offices or hiring operations in India.']
100,101,Lowe's,Specialty Retailers,1000 Lowe's Blvd.,Mooresville,North Carolina,28117,U.S.,"$96,250",270000.0,LOW,www.lowes.com,Marvin R. Ellison,[],"[""Lowe's does not have physical stores or offices in India. They do not directly hire in India, but some of their global suppliers and partners may have operations there.""]"
101,102,CITIC Group,Diversified Financials,10 Guanghualu,Beijing,China,100020,China,"$96,126",148108.0,,www.group.citic,Zhu Hexin,"['Mumbai', 'New Delhi']","['Investment Banking', 'Corporate Finance', 'Asset Management', 'Private Equity']"
102,103,Nestlé,Food Consumer Products,55 Ave. Nestlé,Vevey,Switzerland,01800,Switzerland,"$95,293",276000.0,NSRGY,www.nestle.com,Ulf Mark Schneider,"['Mumbai', 'New Delhi', 'Bangalore', 'Pune', 'Gurgaon', 'Hyderabad', 'Chennai', 'Kolkata']","['Manufacturing', 'Sales and Marketing', 'Research and Development', 'Finance', 'Human Resources', 'Information Technology', 'Supply Chain Management', 'Legal', 'Public Affairs']"
103,104,Reliance Industries,Petroleum Refining,222 Nariman Point,Mumbai,India,400021,India,"$93,982",342982.0,,www.ril.com,,"['Mumbai', 'Navi Mumbai', 'Jamnagar', 'Vadodara', 'Ahmedabad', 'New Delhi', 'Bangalore', 'Chennai', 'Hyderabad', 'Kolkata', 'Pune', 'Surat', 'Indore', 'Lucknow', 'Kanpur', 'Chandigarh', 'Bhubaneswar', 'Coimbatore', 'Ghaziabad', 'Gurgaon', 'Jaipur', 'Noida', 'Patna', 'Visakhapatnam', 'Vijayawada', 'Nagpur', 'Raipur', 'Ranchi', 'Thiruvananthapuram', 'Mangalore', 'Mysore', 'Kochi', 'Goa', 'Amritsar', 'Ludhiana', 'Jalandhar', 'Dehradun', 'Vadodara']","['Refinery and Petrochemicals', 'Telecom', 'Retail', 'Digital Services', 'Energy', 'Finance', 'Human Resources', 'IT', 'Legal', 'Marketing', 'Operations', 'Sales', 'Research and Development']"
104,105,Bank of America,Banks: Commercial and Savings,100 N. Tryon St.,Charlotte,North Carolina,28255,U.S.,"$93,851",208248.0,BAC,www.bankofamerica.com,,"['Bangalore', 'Chennai', 'Gurgaon', 'Hyderabad', 'Mumbai']","['Technology', 'Operations', 'Finance', 'Business Development']"
105,106,Xiamen ITG Holding Group,Trading,4688 Xianyue Rd.,Xiamen,China,361013,China,"$93,791",28977.0,,www.itgholding.com.cn,He Frank,[],[]
106,107,Johnson & Johnson,Pharmaceuticals,1 Johnson & Johnson Plaza,New Brunswick,New Jersey,08933,U.S.,"$93,775",141700.0,JNJ,www.jnj.com,,"['Mumbai', 'Bangalore', 'Hyderabad', 'New Delhi']","['Pharmaceuticals', 'Medical Devices', 'Consumer Healthcare']"
107,108,Bosch Group,Motor Vehicles & Parts,Robert Bosch Platz 1,Gerlingen-Schillerhöhe,Germany,70839,Germany,"$93,106",402614.0,,www.bosch.com,Volkmar Denner,"['Pune', 'Bangalore', 'Chennai', 'Gurgaon']","['Engineering', 'Sales', 'Marketing', 'Finance', 'Human Resources', 'IT', 'Manufacturing', 'Supply Chain']"
108,109,BASF,Chemicals,Carl Bosch Str. 38,Ludwigshafen,Germany,67056,Germany,"$92,929",111047.0,BASFY,www.basf.com,Martin Brudermueller,"['Mumbai', 'Pune', 'New Delhi', 'Chennai', 'Bangalore', 'Hyderabad', 'Kolkata']","['Research & Development', 'Production', 'Sales & Marketing', 'Human Resources', 'Finance', 'Information Technology', 'Engineering', 'Supply Chain']"
109,110,People's Insurance Co. of China,Insurance: Property and Casualty (Stock),88 West Chang'an Ave.,Beijing,China,100031,China,"$92,182",184364.0,,www.picc.com.cn,Miao Jianmin,[],[]
110,111,ENI,Petroleum Refining,Piazzale Enrico Mattei 1,Rome,Italy,00145,Italy,"$91,951",32689.0,E,www.eni.com,Claudio Descalzi,"['Mumbai', 'New Delhi', 'Bangalore', 'Chennai', 'Hyderabad']","['Engineering', 'Product Management', 'Sales', 'Marketing', 'Finance']"
111,112,E.ON,Energy,Brüsseler Platz 1,Essen,Germany,45131,Germany,"$91,463",69733.0,EONGY,www.eon.com,Andreas Kupper,[],['E.ON does not have offices or hiring operations in India.']
112,113,Hitachi,"Electronics, Electrical Equip.",1-6-6 Marunouchi,Tokyo,Japan,100-8280,Japan,"$91,375",368247.0,HTHIY,www.hitachi.com,Toshiaki Higashihara,"['Bangalore', 'Chennai', 'Hyderabad', 'Mumbai', 'New Delhi', 'Pune']","['Information Technology', 'Engineering', 'Sales & Marketing', 'Finance', 'Human Resources', 'Operations']"
113,114,Equinor,Petroleum Refining,Forusbeen 50,Stavanger,Norway,04035,Norway,"$90,924",21126.0,EQNR,www.equinor.com,Anders Opedal,"['Mumbai', 'New Delhi']","['Exploration & Production', 'Renewables', 'Technology & Digital', 'Marketing & Trading']"
114,115,Royal Ahold Delhaize,Food & Drug Stores,Provincialeweg 11,Zaandam,Netherlands,01506,Netherlands,"$89,386",259000.0,ADRNY,www.aholddelhaize.com,Frans Muller,[],"['Royal Ahold Delhaize does not have any offices or direct hiring in India. However, its subsidiaries, such as  Giant Food Stores, Peapod Digital Labs, and Stop & Shop, may have global opportunities that could be relevant to candidates in India.']"
115,116,Sony,"Electronics, Electrical Equip.",1-7-1 Konan,Tokyo,Japan,108-0075,Japan,"$88,321",108900.0,SONY,www.sony.net,Kenichiro Yoshida,"['Bangalore', 'Mumbai', 'New Delhi', 'Chennai', 'Pune']","['Technology', 'Marketing', 'Sales', 'Finance', 'Human Resources', 'Operations']"
116,117,SK,Petroleum Refining,26 Jongro,Seoul,South Korea,03188,South Korea,"$88,081",117438.0,,www.sk.co.kr,Dong-Hyun Jang,[],[]
117,118,Rosneft Oil,Petroleum Refining,26/1 Sofiyskaya Embankment,Moscow,Russia,117997,Russia,"$87,832",356000.0,OJSCY,www.rosneft.com,Igor Sechin,[],['Rosneft does not have offices or hire in India.']
118,119,Carrefour,Food & Drug Stores,93 Ave.de Paris,Massy,France,91300,France,"$87,831",319565.0,CRRFY,www.carrefour.com,Alexandre Bompard,[],"['Carrefour does not have a physical presence in India. However, they may have a presence in India through online platforms.']"
119,120,Wuchan Zhongda Group,Trading,56 W. Huancheng Rd.,Hangzhou,China,310006,China,"$87,211",21012.0,,www.wzgroup.cn,Wang Tingge,[],[]
120,121,Tencent Holdings,Internet Services and Retailing,Tencent Binhai Towers,Shenzhen,China,518054,China,"$86,836",112771.0,TCEHY,www.tencent.com,,"['Bangalore', 'Mumbai', 'Hyderabad']","['Technology', 'Business Development', 'Marketing', 'Operations']"
121,122,Dongfeng Motor,Motor Vehicles & Parts,1 Dongfeng Rd.,Wuhan,China,430056,China,"$86,122",141681.0,,www.dfmc.com.cn,Yanfeng Zhu,[],['Dongfeng Motor does not currently have offices or hire in India.']
122,123,BNP Paribas,Banks: Commercial and Savings,16 Blvd. des Italiens,Paris,France,75009,France,"$85,301",189765.0,BNPQY,www.group.bnpparibas,Jean-Laurent Bonnafe,"['Mumbai', 'Delhi', 'Bangalore', 'Chennai', 'Hyderabad']","['Corporate and Investment Banking', 'Retail Banking', 'Asset Management', 'Investment Solutions', 'Technology and Operations']"
123,124,Archer Daniels Midland,Food Production,77 W. Wacker Dr.,Chicago,Illinois,60601,U.S.,"$85,249",39979.0,ADM,www.adm.com,Juan R. Luciano,"['Mumbai', 'New Delhi']","['Trading', 'Supply Chain', 'Operations', 'Finance', 'Human Resources', 'Information Technology']"
124,125,Greenland Holding Group,Real Estate,700 Dapu Rd.,Shanghai,China,200023,China,"$84,454",79999.0,,www.ldjt.com.cn,Zhang Yuliang,[],[]
125,126,Tesco,Food & Drug Stores,Kestrel Way,Welwyn Garden City,Britain,AL7 1GA,Britain,"$84,192",231223.0,TSCDY,www.tescoplc.com,Murphy Ken,[],"['Tesco does not have any physical offices in India. However, they do hire remotely for roles in areas such as IT, Finance, and Data Analytics.']"
126,127,COSCO Shipping,Shipping,5299 Binjiang Dadao,Shanghai,China,200127,China,"$84,130",107551.0,,www.coscoshipping.com,Xu Lirong,"['Mumbai', 'Chennai', 'Kolkata', 'New Delhi', 'Bangalore']","['Operations', 'Sales', 'Customer Service', 'Finance', 'Human Resources', 'IT']"
127,128,Petrobras,Petroleum Refining,Av. República do Chile 65,Rio de Janeiro,Brazil,20031-912,Brazil,"$83,966",45532.0,PBR,www.petrobras.com.br,,[],['Petrobras does not have offices or hire in India.']
128,129,FedEx,"Mail, Package and Freight Delivery",942 S. Shady Grove Rd.,Memphis,Tennessee,38120,U.S.,"$83,959",508650.0,FDX,www.fedex.com,Frederick W. Smith,"['Bangalore', 'Chennai', 'Delhi', 'Gurgaon', 'Hyderabad', 'Kolkata', 'Mumbai', 'Pune']","['Operations', 'Sales', 'Customer Service', 'Finance', 'Human Resources', 'IT', 'Marketing']"
129,130,Engie,Energy,1 Place Samuel de Champlain,Courbevoie,France,92400,France,"$83,622",171474.0,ENGIY,www.engie.com,Catherine Fiamma Macgregor,"['Mumbai', 'New Delhi', 'Chennai', 'Bangalore']","['Engineering', 'Project Management', 'Sales and Marketing', 'Operations', 'Finance']"
130,131,China Telecommunications,Telecommunications,31 Finance St.,Beijing,China,100033,China,"$83,596",394600.0,,www.chinatelecom.com.cn,Ruiwen Ke,[],[]
131,132,Humana,Health Care: Insurance and Managed Care,500 W. Main St.,Louisville,Kentucky,40202,U.S.,"$83,064",95500.0,HUM,www.humana.com,Bruce D. Broussard,[],"['Humana does not have offices in India. However, they do hire in India through remote work opportunities. To find available roles, visit their careers page.']"
132,133,Munich Re Group,Insurance: Property and Casualty (Stock),Königinstrasse 107,Munich,Germany,80802,Germany,"$83,052",39281.0,MURGY,www.munichre.com,Joachim Wenning,"['Mumbai', 'Bangalore']","['Reinsurance', 'Life & Health', 'Property & Casualty']"
133,134,Wells Fargo,Banks: Commercial and Savings,420 Montgomery St.,San Francisco,California,94104,U.S.,"$82,407",247848.0,WFC,www.wellsfargo.com,Charles W. Scharf,"['Bangalore', 'Hyderabad', 'Chennai', 'Mumbai']","['Technology', 'Operations', 'Business Services']"
134,135,State Farm Insurance,Insurance: Property and Casualty (Mutual),1 State Farm Plaza,Bloomington,Illinois,61710,U.S.,"$82,225",53586.0,,www.statefarm.com,Michael L. Tipsord,[],['State Farm does not have offices or hire in India. ']
135,136,China North Industries Group,Aerospace & Defense,44 Sanlihe St.,Beijing,China,100821,China,"$81,785",213957.0,,www.norincogroup.com.cn,Chao Wang,[],[]
136,137,Pfizer,Pharmaceuticals,235 E. 42nd St.,New York,New York,10017,U.S.,"$81,288",79000.0,PFE,www.pfizer.com,Albert Bourla,"['Mumbai', 'New Delhi', 'Hyderabad', 'Bangalore']","['Research & Development', 'Manufacturing', 'Commercial', 'Finance', 'Human Resources']"
137,138,Country Garden Holdings,Real Estate,1 Country Garden Rd.,Foshan,China,528312,China,"$81,091",100705.0,CTRYY,www.countrygarden.com.cn,Bin Mo,[],['Country Garden Holdings does not have any offices or hiring activities in India.']
138,139,Aluminum Corp. of China,Metals,62 N. Xizhimen St.,Beijing,China,100082,China,"$80,407",138717.0,,www.chinalco.com.cn,Xiong Weiping,[],['Aluminum Corp. of China does not have any offices or hiring operations in India.']
139,140,ENEOS Holdings,Petroleum Refining,1-1-2 Ohtemachi,Tokyo,Japan,100-8162,Japan,"$80,133",41852.0,JXHLY,www.hd.eneos.co.jp,,[],['ENEOS Holdings does not currently have offices or hiring in India.']
140,141,Citigroup,Banks: Commercial and Savings,388 Greenwich St.,New York,New York,10013,U.S.,"$79,865",221768.0,C,www.citigroup.com,Jane Fraser,"['Bangalore', 'Chennai', 'Gurugram', 'Hyderabad', 'Mumbai', 'Pune']","['Technology', 'Finance', 'Operations', 'Sales and Trading', 'Risk Management', 'Human Resources', 'Legal', 'Compliance']"
141,142,Indian Oil,Petroleum Refining,3079/3 Sadiq Nagar,New Delhi,India,110049,India,"$79,542",32938.0,,www.iocl.com,Shrikant Madhav Vaidya,[],[]
142,143,PepsiCo,Food Consumer Products,700 Anderson Hill Rd.,Purchase,New York,10577,U.S.,"$79,474",309000.0,PEP,www.pepsico.com,Ramon L. Laguarta,"['Mumbai', 'New Delhi', 'Bangalore', 'Hyderabad', 'Pune', 'Kolkata', 'Chennai']","['Marketing', 'Sales', 'Finance', 'Human Resources', 'Supply Chain', 'Operations', 'Research & Development', 'Information Technology', 'Legal']"
143,144,Aviation Industry Corp. of China,Aerospace & Defense,"Building 19, Compound A5, Shuguang Xili",Beijing,China,100028,China,"$79,332",380000.0,,www.avic.com,,[],[]
144,145,Intel,Semiconductors & Other Electronic Components,2200 Mission College Blvd.,Santa Clara,California,95054,U.S.,"$79,024",121100.0,INTC,www.intel.com,Patrick P. Gelsinger,"['Bangalore', 'Hyderabad', 'Chennai', 'Pune', 'New Delhi']","['Engineering', 'Sales & Marketing', 'Finance', 'Human Resources', 'Legal', 'Operations']"
145,146,Banco Santander,Banks: Commercial and Savings,Av. De Cantabria,Madrid,Spain,28660,Spain,"$78,689",194479.0,SAN,www.santander.com,Jose Antonio Alvarez Alvarez,"['Mumbai', 'Bangalore', 'Chennai', 'Hyderabad']","['Technology', 'Operations', 'Business Development', 'Risk Management', 'Finance']"
146,147,Seven & I Holdings,Specialty Retailers,8-8 Nibancho,Tokyo,Japan,102-8452,Japan,"$78,458",127196.0,SVNDY,www.7andi.com,,[],['Seven & I Holdings does not have any offices or hiring operations in India.']
147,148,AEON,Food & Drug Stores,1-5-1 Nakase,Chiba,Japan,261-8515,Japan,"$78,155",288064.0,AONNY,www.aeon.info,,[],['AEON does not have offices or hiring opportunities in India.']
148,149,HSBC Holdings,Banks: Commercial and Savings,8 Canada Sq.,London,Britain,E14 5HQ,Britain,"$77,330",219697.0,HSBC,www.hsbc.com,Noel P. Quinn,"['Mumbai', 'New Delhi', 'Bangalore', 'Chennai', 'Hyderabad', 'Kolkata']","['Banking', 'Finance', 'Technology', 'Operations', 'Human Resources', 'Marketing']"
149,150,Pacific Construction Group,Engineering & Construction,2288 SiPing Rd.,Urumqi,China,830001,China,"$77,073",310719.0,,www.cpcg.com.cn,Yan Hao,[],['Pacific Construction Group does not have offices or hire in India.']
150,151,U.S. Postal Service,"Mail, Package and Freight Delivery",475 L'Enfant Plaza S.W.,Washington,District Of Columbia,20260,U.S.,"$77,041",584902.0,,www.usps.com,Louis Dejoy,[],[]
151,152,China Merchants Group,"Mail, Package and Freight Delivery",168-200 Connaught Rd.,Hong Kong,China,00000,China,"$76,767",264161.0,,www.cmhk.com,Miao Jianmin,[],['China Merchants Group does not have offices in India and therefore does not hire there.']
152,153,ArcelorMittal,Metals,24-26 Blvd. d’Avranches,Luxembourg,Luxembourg,01160,Luxembourg,"$76,571",157909.0,MT,www.arcelormittal.com,Lakshmi Mittal,"['Mumbai', 'New Delhi', 'Kolkata', 'Chennai', 'Hyderabad', 'Bangalore']","['Operations', 'Sales & Marketing', 'Human Resources', 'Finance', 'IT', 'Research & Development']"
153,154,Procter & Gamble,Household and Personal Products,1 Procter & Gamble Plaza,Cincinnati,Ohio,45202,U.S.,"$76,118",101000.0,PG,www.pg.com,Jon R. Moeller,"['Mumbai', 'Bangalore', 'Hyderabad', 'Delhi', 'Kolkata']","['Marketing', 'Sales', 'Finance', 'Human Resources', 'Research & Development', 'Supply Chain', 'IT']"
154,155,Bank of Communications,Banks: Commercial and Savings,188 Yincheng Zhong Rd.,Shanghai,China,200120,China,"$75,986",90238.0,BCMXY,www.bankcomm.com,Deqi Ren,[],['Bank of Communications does not have offices or hire in India.']
155,156,Christian Dior,Apparel,30 Ave. Montaigne,Paris,France,75008,France,"$75,924",162254.0,CHDRY,www.dior-finance.com,Sidney Toledano,"['Mumbai', 'New Delhi']","['Retail', 'Marketing', 'Sales', 'Finance', 'Human Resources']"
156,157,Marubeni,Trading,1-4-2 Ohtemachi,Tokyo,Japan,100-8088,Japan,"$75,743",49623.0,MARUY,www.marubeni.com,Masumi Kakinoki,"['Mumbai', 'New Delhi', 'Chennai', 'Kolkata', 'Bangalore']","['Trading', 'Investment', 'Energy', 'Infrastructure', 'Logistics', 'Textiles', 'Food', 'Metals']"
157,158,Brookfield Asset Management,Diversified Financials,181 Bay St.,"Toronto, Ontario",Canada,M5J 2T3,Canada,"$75,731",181000.0,BAM,www.brookfield.com,Bruce Flatt,"['Mumbai', 'Bangalore']","['Real Estate', 'Infrastructure', 'Renewable Energy', 'Private Equity', 'Credit']"
158,159,Siemens,Industrial Machinery,Werne von Siemens Strasse 1,Munich,Germany,80333,Germany,"$75,516",303000.0,SIEGY,www.siemens.com,,"['Bangalore', 'Chennai', 'Hyderabad', 'Mumbai', 'Pune', 'New Delhi', 'Gurgaon']","['Engineering', 'IT', 'Sales', 'Marketing', 'Finance', 'Human Resources', 'Operations']"
159,160,XMXYG,Trading,99 Xiangyu Rd.,Xiamen,China,361006,China,"$75,094",14372.0,,www.xiangyu-group.com,Zhang Shuili,[],[]
160,161,Nissan Motor,Motor Vehicles & Parts,1-1-1 Takashima,Yokohama,Japan,220-8686,Japan,"$74,995",141983.0,NSANY,www.nissan-global.com,Makoto Uchida,"['Chennai', 'Mumbai', 'New Delhi']","['Sales and Marketing', 'After Sales Service', 'Manufacturing', 'Human Resources', 'Finance']"
161,162,Beijing Automotive Group,Motor Vehicles & Parts,99 Shuanghe St.,Beijing,China,101300,China,"$74,687",100000.0,,www.baicgroup.com.cn,Xu Heyi,[],[]
162,163,Jinneng Holding Group,"Mining, Crude-Oil Production",Taihe Rd.,Datong,China,037006,China,"$74,588",506364.0,,www.dtcoalmine.com,,[],[]
163,164,Nippon Life Insurance,"Insurance: Life, Health (Mutual)",3-5-12 Imabashi,Osaka,Japan,541-8501,Japan,"$74,392",92737.0,,www.nissay.co.jp,Hiroshi Shimizu,"['Mumbai', 'Delhi', 'Bangalore']","['Life Insurance Sales', 'Underwriting', 'Claims', 'Operations', 'IT']"
164,165,General Electric,Industrial Machinery,5 Necco St.,Boston,Massachusetts,02210,U.S.,"$74,196",168000.0,GE,www.ge.com,H. Lawrence Culp Jr.,"['Bangalore', 'Chennai', 'Hyderabad', 'Mumbai', 'New Delhi', 'Pune']","['Aviation', 'Healthcare', 'Power', 'Renewable Energy', 'Digital', 'Oil & Gas']"
165,166,Pemex,"Mining, Crude-Oil Production",Av. Marina Nacional 329,Mexico City,Mexico,11300,Mexico,"$73,761",123842.0,,www.pemex.com,Octavio Romero Oropeza,[],['Pemex does not have offices or hire in India.']
166,167,Dai-ichi Life Holdings,"Insurance: Life, Health (Stock)",1-13-1 Yurakucho,Tokyo,Japan,100-8411,Japan,"$73,082",62296.0,DLICY,www.dai-ichi-life-hd.com,Takashi Fujii,['Mumbai'],['Life Insurance']
167,168,International Business Machines,Information Technology Services,1 New Orchard Rd.,Armonk,New York,10504,U.S.,"$72,344",297800.0,IBM,www.ibm.com,Arvind Krishna,"['Bangalore', 'Chennai', 'Hyderabad', 'Mumbai', 'New Delhi', 'Pune']","['Technology', 'Consulting', 'Global Business Services', 'Cloud & Data Platform', 'Sales & Marketing', 'Finance', 'Human Resources', 'Legal', 'Operations']"
168,169,Roche Group,Pharmaceuticals,Grenzacherstrasse 124,Basel,Switzerland,04070,Switzerland,"$72,054",100920.0,RHHBY,www.roche.com,Thomas Schinecker,"['Mumbai', 'Bangalore', 'Hyderabad', 'Chennai', 'Pune', 'Gurgaon']","['Pharmaceuticals', 'Diagnostics', 'Biotechnology', 'Information Technology', 'Finance', 'Human Resources']"
169,170,Albertsons,Food & Drug Stores,250 Parkcenter Blvd.,Boise,Idaho,83706,U.S.,"$71,887",195750.0,ACI,www.albertsonscompanies.com,Vivek Sankaran,[],[]
170,171,Lenovo Group,"Computers, Office Equipment",979 King's Rd.,Hong Kong,China,00000,China,"$71,618",75000.0,LNVGY,www.lenovo.com,,"['Bangalore', 'Chennai', 'Delhi', 'Hyderabad', 'Mumbai', 'Pune']","['Engineering', 'Sales and Marketing', 'Finance', 'Human Resources', 'Operations', 'Customer Support']"
171,172,Toyota Tsusho,Trading,4-9-8 Meieki,Nagoya,Japan,450-8575,Japan,"$71,465",65218.0,TYHOF,www.toyota-tsusho.com,Ichiro Kashitani,"['New Delhi', 'Mumbai', 'Chennai', 'Bangalore']","['Automotive', 'Energy', 'Infrastructure', 'Metals', 'Chemicals']"
172,173,MetLife,"Insurance: Life, Health (Stock)",200 Park Ave.,New York,New York,10166,U.S.,"$71,080",43000.0,MET,www.metlife.com,Michel A. Khalaf,"['Mumbai', 'Gurgaon', 'Hyderabad', 'Chennai']","['Technology', 'Finance', 'Operations', 'Sales', 'Customer Service']"
173,174,China Merchants Bank,Banks: Commercial and Savings,7088 Shennan Blvd.,Shenzhen,China,518040,China,"$71,064",103669.0,CIHKY,www.cmbchina.com,Tian Huiyu,[],['China Merchants Bank does not currently have offices or hire in India.']
174,175,Prudential Financial,"Insurance: Life, Health (Stock)",751 Broad St.,Newark,New Jersey,07102,U.S.,"$70,934",40916.0,PRU,www.prudential.com,Charles F. Lowrey,"['Mumbai', 'Bangalore', 'Chennai']","['Technology', 'Finance', 'Operations']"
175,176,Jiangxi Copper,Metals,15 Yejin Ave.,Guixi,China,335424,China,"$70,914",31654.0,,www.jxcc.com,Long Ziping,[],[]
176,177,PTT,Petroleum Refining,555 Vibhavadi Rangsit Rd.,Bangkok,Thailand,10900,Thailand,"$70,652",29765.0,,www.pttplc.com,Auttapol Rerkpiboon,[],['PTT does not have offices or hire in India.']
177,178,China Vanke,Real Estate,33 Huanmei Rd.,Shenzhen,China,518083,China,"$70,198",139494.0,CHVKF,www.vanke.com,Jiusheng Zhu,[],[]
178,179,Zurich Insurance Group,Insurance: Property and Casualty (Stock),Mythenquai 2,Zurich,Switzerland,08002,Switzerland,"$69,867",54914.0,ZURVY,www.zurich.com,Mario Greco,"['Mumbai', 'Delhi', 'Bangalore', 'Chennai', 'Hyderabad']","['Life and Non-Life Insurance', 'Reinsurance', 'Asset Management', 'Technology', 'Operations']"
179,180,Zhejiang Rongsheng Holding Group,Chemicals,98 Hongyang Rd.,Hangzhou,China,311247,China,"$69,503",22750.0,,www.rong-sheng.com,Shuirong Li,[],[]
180,181,China Poly Group,Real Estate,1 Chaoyangmen North St.,Beijing,China,100010,China,"$69,007",110785.0,,www.poly.com.cn,,[],['China Poly Group does not have an office in India and therefore does not hire in India.']
181,182,China Pacific Insurance (Group),"Insurance: Life, Health (Stock)",1 S. Zhongshan Rd.,Shanghai,China,200010,China,"$68,313",107000.0,CHPXY,www.cpic.com.cn,Fu Fan,[],['China Pacific Insurance (Group) does not have offices or hire in India.']
182,183,Walt Disney,Entertainment,500 S. Buena Vista St.,Burbank,California,91521,U.S.,"$67,418",171000.0,DIS,www.thewaltdisneycompany.com,Robert A. Chapek,"['Mumbai', 'Bengaluru', 'Hyderabad', 'New Delhi']","['Animation', 'Technology', 'Marketing', 'Content Creation']"
183,184,Energy Transfer,Pipelines,8111 Westchester Dr.,Dallas,Texas,75225,U.S.,"$67,417",12558.0,ET,www.energytransfer.com,Thomas E. Long,[],['Energy Transfer does not have offices or hire in India.']
184,185,Lockheed Martin,Aerospace & Defense,6801 Rockledge Dr.,Bethesda,Maryland,20817,U.S.,"$67,044",114000.0,LMT,www.lockheedmartin.com,Jim Taiclet,"['Bangalore', 'Hyderabad', 'New Delhi']","['Aerospace', 'Defense', 'Security', 'Advanced Technologies']"
185,186,Guangzhou Automobile Industry Group,Motor Vehicles & Parts,23 Xingguo Rd.,Guangzhou,China,510623,China,"$66,955",112113.0,,www.gac.com.cn,Zeng Qinghong,[],[]
186,187,LG Electronics,"Electronics, Electrical Equip.",128 Yeoui-daero,Seoul,South Korea,07336,South Korea,"$66,862",75000.0,,www.lg.com,Kwon Bong-Seok,"['Bangalore', 'Delhi', 'Gurgaon', 'Hyderabad', 'Mumbai', 'Pune']","['Sales', 'Marketing', 'Service', 'Research and Development', 'Manufacturing', 'Human Resources', 'Finance']"
187,188,POSCO Holdings,Metals,440 Teheran-ro,Seoul,South Korea,06194,South Korea,"$66,421",36619.0,PKX,www.posco.com,Hag-Dong Kim,"['Mumbai', 'New Delhi', 'Chennai', 'Kolkata', 'Bangalore', 'Hyderabad', 'Pune', 'Ahmedabad', 'Vadodara', 'Surat', 'Jaipur', 'Kanpur', 'Lucknow', 'Nagpur', 'Indore', 'Coimbatore', 'Bhopal', 'Chandigarh', 'Gurugram', 'Faridabad', 'Ghaziabad']","['Sales & Marketing', 'Project Management', 'Engineering', 'Procurement', 'Finance', 'Human Resources', 'Legal', 'IT', 'Operations']"
188,189,HBIS Group,Metals,385 TiYu S. Rd.,Shijiazhuang,China,050023,China,"$66,150",116572.0,,www.hbisco.com,Wang Yaobin,[],['HBIS Group does not have offices or hire in India.']
189,190,Oil & Natural Gas,"Mining, Crude-Oil Production",5A-5B Nelson Mandela Rd.,New Delhi,India,110070,India,"$65,962",38252.0,,www.ongcindia.com,Shashi Shanker,"['New Delhi', 'Mumbai', 'Chennai', 'Kolkata', 'Hyderabad', 'Bangalore', 'Vadodara', 'Dehradun', 'Guwahati', 'Silchar', 'Bhubaneshwar', 'Port Blair', 'Panaji', 'Ahmedabad', 'Chandigarh', 'Lucknow', 'Jaipur', 'Patna', 'Ranchi', 'Indore', 'Nagpur', 'Surat', 'Pune', 'Kanpur']","['Exploration', 'Production', 'Marketing', 'Engineering', 'Human Resources', 'Finance', 'Information Technology', 'Corporate Affairs', 'Legal']"
190,191,Freddie Mac,Diversified Financials,8200 Jones Branch Dr.,McLean,Virginia,22102,U.S.,"$65,898",7301.0,FMCC,www.freddiemac.com,Michael Devito,[],['Freddie Mac does not have offices or hire in India.']
191,192,Wilmar International,Food Production,28 Biopolis Rd.,Singapore,Singapore,138568,Singapore,"$65,794",100000.0,WLMIY,www.wilmar-international.com,,"['Mumbai', 'New Delhi', 'Hyderabad', 'Chennai', 'Bangalore']","['Trading', 'Supply Chain', 'Operations', 'Finance', 'Human Resources', 'Information Technology', 'Legal']"
192,193,Panasonic Holdings,"Electronics, Electrical Equip.",1006 Oaza Kadoma,Osaka,Japan,571-8501,Japan,"$65,774",240198.0,PCRFY,www.holdings.panasonic/global,Yuki Kusumi,"['Bangalore', 'Delhi', 'Gurgaon', 'Hyderabad', 'Mumbai', 'Pune']","['Manufacturing', 'Sales', 'Marketing', 'Research & Development', 'Finance', 'Human Resources', 'Information Technology']"
193,194,JBS,Food Production,Av. Marginal Direita do Tietê 500,São Paulo,Brazil,05118-100,Brazil,"$65,036",250000.0,JBSAY,jbs.com.br,Gilberto Tomazoni,"['Mumbai', 'New Delhi']","['Meat Processing', 'Beef Production', 'Poultry Production', 'Pork Production', 'Lamb Production', 'Food Processing', 'Leather Production', 'Biodiesel Production']"
194,195,Goldman Sachs Group,Banks: Commercial and Savings,200 West St.,New York,New York,10282,U.S.,"$64,989",43900.0,GS,www.goldmansachs.com,David M. Solomon,"['Bangalore', 'Mumbai', 'Gurgaon']","['Technology', 'Investment Banking', 'Securities', 'Asset Management', 'Operations']"
195,196,China National Building Material Group,"Building Materials, Glass",17 Fuxing Rd.,Beijing,China,100036,China,"$64,417",206910.0,,www.cnbm.com.cn,,[],['China National Building Material Group does not have any offices or hiring activity in India.']
